DATE,CSX1
2018-08-08,0.0
2018-08-09,-0.00625
2018-08-10,-0.0125
2018-08-11,-0.018750000000000003
2018-08-12,-0.025
2018-08-13,-0.03125
2018-08-14,-0.037500000000000006
2018-08-15,-0.043750000000000004
2018-08-16,-0.05
2018-08-17,-0.05625
2018-08-18,-0.0625
2018-08-19,-0.06875
2018-08-20,-0.07500000000000001
2018-08-21,-0.08125
2018-08-22,-0.08750000000000001
2018-08-23,-0.09375
2018-08-24,-0.1
2018-08-25,-0.10625000000000001
2018-08-26,-0.1125
2018-08-27,-0.11875000000000001
2018-08-28,-0.125
2018-08-29,-0.13125
2018-08-30,-0.1375
2018-08-31,-0.14375000000000002
2018-09-01,-0.15000000000000002
2018-09-02,-0.15625
2018-09-03,-0.1625
2018-09-04,-0.16875
2018-09-05,-0.17500000000000002
2018-09-06,-0.18125000000000002
2018-09-07,-0.1875
2018-09-08,-0.19375
2018-09-09,-0.2
2018-09-10,-0.17857142857142858
2018-09-11,-0.15714285714285714
2018-09-12,-0.13571428571428573
2018-09-13,-0.11428571428571428
2018-09-14,-0.09285714285714285
2018-09-15,-0.07142857142857142
2018-09-16,-0.04999999999999999
2018-09-17,-0.028571428571428553
2018-09-18,-0.0071428571428571175
2018-09-19,0.014285714285714318
2018-09-20,0.035714285714285754
2018-09-21,0.05714285714285716
2018-09-22,0.07857142857142863
2018-09-23,0.10000000000000003
2018-09-24,0.1214285714285715
2018-09-25,0.1428571428571429
2018-09-26,0.1642857142857143
2018-09-27,0.18571428571428578
2018-09-28,0.20714285714285718
2018-09-29,0.22857142857142865
2018-09-30,0.25000000000000006
2018-10-01,0.2714285714285715
2018-10-02,0.2928571428571429
2018-10-03,0.31428571428571433
2018-10-04,0.3357142857142858
2018-10-05,0.35714285714285726
2018-10-06,0.3785714285714286
2018-10-07,0.4
2018-10-08,0.44375000000000003
2018-10-09,0.48750000000000004
2018-10-10,0.53125
2018-10-11,0.5750000000000001
2018-10-12,0.61875
2018-10-13,0.6625000000000001
2018-10-14,0.70625
2018-10-15,0.75
2018-10-16,0.7937500000000001
2018-10-17,0.8375000000000001
2018-10-18,0.8812500000000001
2018-10-19,0.925
2018-10-20,0.9687500000000001
2018-10-21,1.0125000000000002
2018-10-22,1.0562500000000001
2018-10-23,1.1
2018-10-24,1.1208333333333333
2018-10-25,1.1416666666666668
2018-10-26,1.1625
2018-10-27,1.1833333333333333
2018-10-28,1.2041666666666668
2018-10-29,1.225
2018-10-30,1.2458333333333333
2018-10-31,1.2666666666666668
2018-11-01,1.2875
2018-11-02,1.3083333333333333
2018-11-03,1.3291666666666668
2018-11-04,1.35
2018-11-05,1.3708333333333333
2018-11-06,1.3916666666666666
2018-11-07,1.4125
2018-11-08,1.4333333333333333
2018-11-09,1.4541666666666666
2018-11-10,1.475
2018-11-11,1.4958333333333333
2018-11-12,1.5166666666666666
2018-11-13,1.5375
2018-11-14,1.5583333333333333
2018-11-15,1.5791666666666666
2018-11-16,1.6
2018-11-17,1.3666666666666667
2018-11-18,1.1333333333333335
2018-11-19,0.9000000000000001
2018-11-20,0.6666666666666669
2018-11-21,0.43333333333333357
2018-11-22,0.20000000000000018
2018-11-23,-0.03333333333333299
2018-11-24,-0.2666666666666664
2018-11-25,-0.49999999999999956
2018-11-26,-0.733333333333333
2018-11-27,-0.9666666666666663
2018-11-28,-1.2
2018-11-29,-1.3111111111111111
2018-11-30,-1.422222222222222
2018-12-01,-1.5333333333333332
2018-12-02,-1.6444444444444444
2018-12-03,-1.7555555555555555
2018-12-04,-1.8666666666666667
2018-12-05,-1.9777777777777776
2018-12-06,-2.0888888888888886
2018-12-07,-2.2
2018-12-08,-2.311111111111111
2018-12-09,-2.422222222222222
2018-12-10,-2.533333333333333
2018-12-11,-2.6444444444444444
2018-12-12,-2.7555555555555555
2018-12-13,-2.8666666666666663
2018-12-14,-2.977777777777778
2018-12-15,-3.0888888888888886
2018-12-16,-3.2
2018-12-17,-3.311111111111111
2018-12-18,-3.4222222222222225
2018-12-19,-3.533333333333333
2018-12-20,-3.644444444444444
2018-12-21,-3.7555555555555555
2018-12-22,-3.8666666666666663
2018-12-23,-3.977777777777778
2018-12-24,-4.088888888888889
2018-12-25,-4.2
2018-12-26,-4.311111111111111
2018-12-27,-4.422222222222222
2018-12-28,-4.533333333333333
2018-12-29,-4.644444444444444
2018-12-30,-4.7555555555555555
2018-12-31,-4.866666666666666
2019-01-01,-4.977777777777778
2019-01-02,-5.088888888888889
2019-01-03,-5.2
2019-01-04,-4.5
2019-01-05,-3.8
2019-01-06,-3.1
2019-01-07,-2.4
2019-01-08,-1.6999999999999997
2019-01-09,-1.0
2019-01-10,-0.2999999999999998
2019-01-11,0.4
2019-01-12,0.64
2019-01-13,0.88
2019-01-14,1.12
2019-01-15,1.3599999999999999
2019-01-16,1.6
2019-01-17,1.8399999999999999
2019-01-18,2.08
2019-01-19,2.32
2019-01-20,2.56
2019-01-21,2.8
2019-01-22,3.0399999999999996
2019-01-23,3.28
2019-01-24,3.52
2019-01-25,3.76
2019-01-26,3.9999999999999996
2019-01-27,4.24
2019-01-28,4.48
2019-01-29,4.720000000000001
2019-01-30,4.96
2019-01-31,5.2
2019-02-01,4.7875000000000005
2019-02-02,4.375
2019-02-03,3.9625000000000004
2019-02-04,3.5500000000000003
2019-02-05,3.1375
2019-02-06,2.7250000000000005
2019-02-07,2.3125000000000004
2019-02-08,1.9000000000000004
2019-02-09,1.4875000000000003
2019-02-10,1.0750000000000002
2019-02-11,0.6625000000000005
